"","solID","mape","decomp.rssd","nrmse","nrmse_test","nrmse_train","TikTok","Facebook","Google_Ads","cluster","top_sol"
"63","2_83_11",0,0.0429326937772811,0.349115249418664,0.596046034313301,0.0677052830242948,0,0.01152004931157,0.0046634758896266,10,FALSE
"64","2_83_16",0,0.04381966593766,0.3458477412288,0.598071170053559,0.0680982427968872,0.00855132297436565,0.01106207007178,0.0100161410475566,10,FALSE
"65","2_83_2",0,0.054372757564872,0.342927746730354,0.616216822780898,0.0676468758173746,0.00396770737793841,0.00411798138142625,0.00262754869395436,10,FALSE
"66","2_83_23",0,0.0197035241105674,0.566025766281419,0.816097709845787,0.10639476139445,0.0534629880167393,0.0628884809209661,0.0605484223235005,5,FALSE
"67","2_84_17",0,0.0346001259547489,0.404926263429507,0.612870145500678,0.0699945787830709,0.0165910746570029,0.0290551732479201,0.0219740348744783,2,FALSE
"68","2_85_16",0,0.0406650057635191,0.370899568243618,0.633097725174048,0.0719024080292087,0.00082557449163765,0,0.00679469411176422,10,FALSE
"69","2_85_17",0,0.0270410952809658,0.426492928424876,0.662536561020282,0.0728357856231463,0.00189404303664661,0.0051816958551327,0.0120620900034933,10,TRUE
"70","2_85_22",0,0.0595262810644823,0.311293227147187,0.499351852992718,0.0596487899828503,0.0122209017340904,0.0232846892354358,0.00827245439765578,8,FALSE
"71","2_86_23",0,0.0486865359095252,0.347481476193887,0.620326060907202,0.0698231649420751,0.00427080620586462,0.00090050946059994,0.00687044989979288,10,FALSE
"72","2_87_13",0,0.0340837660592048,0.4228511260891,0.651905192496461,0.0785101655662776,0.021069824323936,0.0233662162078777,0.0245935509187826,2,FALSE
"73","2_87_22",0,0.0259565640707178,0.485008916405645,0.726050652378716,0.0919086496987335,0.0320087862308025,0.0300210184207424,0.0434669397195095,1,FALSE
"74","3_59_15",0,0.00801364148316124,0.784806789975605,0.945671304613209,0.135347366853526,0.113022485474933,0.118238226451052,0.124127901836685,4,FALSE
"75","3_60_22",0,0.00766868091893366,0.785039679231975,0.944501398752113,0.135339600121746,0.113013720001023,0.11829964764235,0.124473324882853,4,FALSE
"76","3_64_11",0,0.000227145801601397,1.14865806120261,1.27275740691408,0.18712389746261,0.623599419027464,0.626533962546133,0.629486299417513,6,FALSE
"77","3_66_15",0,0.00277124201062985,0.932514680610897,1.09746346681031,0.152536469647172,0.181321954875548,0.191032496811501,0.201693707638849,9,FALSE
"78","3_71_2",0,0.0049898645305937,0.819637973540497,0.97415363907963,0.141614718268063,0.135931309882247,0.144845189616968,0.1487840113886,4,FALSE
"79","3_72_19",0,0.0104730188184964,0.780924890245158,0.934303404351114,0.134453336589984,0.119584427859439,0.128037274801657,0.127791964334691,4,FALSE
"80","3_82_7",0,0.00295492645216183,0.903660167896985,1.0735620508501,0.147560045730172,0.159109128521537,0.164694098623453,0.174635300417049,4,FALSE
"81","4_82_10",0,0.00126676729687063,1.13052683241435,1.25630043410835,0.184431489285502,0.562307682958135,0.56352998694622,0.570185361118406,6,TRUE
"82","5_32_6",0,0.0975677166575717,0.254613863081382,0.454966907659647,0.0524312215233445,0.0214431608138027,0.0484637933595262,0.00728953025273184,11,FALSE
"83","5_36_20",0,0.00058835573868213,1.14362924081648,1.28624889994046,0.195875114604565,1,1,1,3,TRUE
"84","5_51_18",0,0.0584257080456362,0.33169733637675,0.54668818835196,0.0648223332235657,0.0138994848871075,0.0319183653933911,0.0126167611608936,2,FALSE
"85","5_56_14",0,0.07701936239306,0.264787237301452,0.50315761692595,0.0597542859299891,0.023283462409689,0.0299410198937938,0.00918960294923332,2,FALSE
"86","5_58_15",0,0.0010022675206708,0.889862393429119,1.02641155815626,0.15312311132981,0.190298683953404,0.197967797890533,0.205597874127491,9,TRUE
"87","5_60_2",0,0.0651585567226014,0.315824838575576,0.58956959809391,0.0675301262229328,0.0162243578329377,0.035789473809399,0.0124583566563559,2,FALSE
"88","5_70_4",0,0.00243832899535604,0.795499855295385,0.973415105253613,0.1320690498083,0.108653223776523,0.119287973937735,0.127113634107986,4,FALSE
"89","5_72_10",0,0.0671188824124188,0.30936353321333,0.527585629977215,0.0571139622193727,0.0103021042826184,0.0182758961341367,0.0034797290659212,8,FALSE
"90","5_72_4",0,0.0681391790480936,0.272685563674712,0.547299607843478,0.0638785953895342,0.0186705590225055,0.0396417780931407,0.0137329502988894,11,FALSE
"91","5_73_2",0,0.00788506056419975,0.75678743475206,0.935954508545743,0.125822255885356,0.0989615796527703,0.110647488141891,0.112519114260177,7,FALSE
"92","5_77_11",0,0.0538618235155226,0.3304333601614,0.582360427822439,0.0682451464891173,0.0194675195504464,0.0330437665548689,0.0167682520435132,2,FALSE
"93","5_78_14",0,0.132459575370451,0.245994949482996,0.394673112415268,0.0485262349741628,0.014926255005075,0.0639071305302155,0,11,FALSE
"94","5_78_19",0,0.0176465507063186,0.58906010170989,0.804825594263067,0.107141984603899,0.0625624220058653,0.066316900228423,0.0699486383977936,5,FALSE
"95","5_79_21",0,0.0772755467201667,0.256757041887023,0.50660351079708,0.0594776607393954,0.00789578307878148,0.0371507823074905,0.00696789894870475,11,FALSE
"96","5_82_15",0,0.0590646432996337,0.28439614942853,0.550337740635272,0.0646363341011459,0.0126095145585309,0.0350924593500069,0.0137966336227368,2,FALSE
"97","5_82_2",0,0.0273670275135222,0.44136438694206,0.682494179132976,0.0848092120611458,0.03252564791644,0.0426901740647507,0.0380667471049359,1,TRUE
"98","5_84_14",0,0.102708674377118,0.246101936324779,0.440833909349594,0.0503714558733468,0.0217842715475063,0.0389060515056301,0.00250860119938526,11,FALSE
"99","5_84_4",0,0.0498220650819515,0.334619036140369,0.518344552534141,0.0626740334203844,0.00489064974233112,0.0109064409338413,0.00490431003012183,10,FALSE
"100","5_85_4",0,0.10496539415335,0.253184830493049,0.44908399471121,0.0521852848462839,0.0243347130483569,0.0476986160239841,0.00533164540659365,11,FALSE
"101","5_85_6",0,0.0604005254682591,0.272851821915765,0.53914837785747,0.0630875628356885,0.0100602873265005,0.0316092404018938,0.0108033868252465,2,FALSE
"102","5_86_14",0,0.0751567338401272,0.270514109923316,0.494911604702251,0.0608902081638045,0.0221364970770817,0.043995091307136,0.0138707693712153,11,FALSE
"103","5_86_16",0,0.0511278851272641,0.316441488128678,0.594152245831041,0.0680112836003892,0.00495315240958555,0.0263203817715969,0.0107290192789605,8,FALSE
"104","5_86_3",0,0.068407856015196,0.277967762586623,0.540221838445237,0.0627574509085802,0.00825049082313177,0.036284455084657,0.0101952446949228,11,TRUE
"105","5_86_7",0,0.0709208254201352,0.263553017727619,0.52653831729859,0.062313598874582,0.0136689840952738,0.0417654202487917,0.012898538495272,11,FALSE
"106","5_87_17",0,0.0753393329315917,0.251401054236342,0.505844836665478,0.05979142490242,0.00989422938426574,0.0367959579164936,0.00774474538237979,11,FALSE
"107","5_87_20",0,0.0610279971322908,0.258850379880986,0.529436644010862,0.0625803615563552,0.015702989179287,0.0309438749857205,0.0117890012434559,2,FALSE
"108","5_87_5",0,0.129743663681359,0.234264942799297,0.407288123694502,0.047707494882503,0.0215998242835269,0.0625080506423376,0.00161893550507804,11,FALSE
